command_type,address,command_field,data_field,action,speed_value,raw_word
Engine,4,0b0,0b11100,Blow Horn 1,,0b1000011100
Engine,4,0b0,0b11100,Blow Horn 1,,0b1000011100
Engine,4,0b0,0b11100,Blow Horn 1,,0b1000011100
Engine,4,0b10,0b100,Relative Speed,-1,0b1001000100
Engine,4,0b10,0b100,Relative Speed,-1,0b1001000100
Engine,4,0b10,0b10,Relative Speed,-3,0b1001000010
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
Engine,4,0b10,0b0,Relative Speed,-5,0b1001000000
