# TMCC test command script
# Format: 0xB1 0xB2  # E<id>: <command>  spd=<n> dir=<d> bell=<b>

 0x0 0xc8  # E1: Relative Speed +3  spd=3 dir=Forward bell=Off
 0x0 0xc8  # E1: Relative Speed +3  spd=6 dir=Forward bell=Off
 0x0 0xc8  # E1: Relative Speed +3  spd=9 dir=Forward bell=Off
 0x0 0xc8  # E1: Relative Speed +3  spd=12 dir=Forward bell=Off
 0x1 0xc7  # E3: Relative Speed +2  spd=2 dir=Forward bell=Off
 0x1 0xc7  # E3: Relative Speed +2  spd=4 dir=Forward bell=Off
 0x1 0xc7  # E3: Relative Speed +2  spd=6 dir=Forward bell=Off
 0x1 0x46  # E2: Relative Speed +1  spd=1 dir=Forward bell=Off
 0x1 0x46  # E2: Relative Speed +1  spd=2 dir=Forward bell=Off
 0x1 0x46  # E2: Relative Speed +1  spd=3 dir=Forward bell=Off
 0x1 0x46  # E2: Relative Speed +1  spd=4 dir=Forward bell=Off
 0x1 0x46  # E2: Relative Speed +1  spd=5 dir=Forward bell=Off
 0x1 0x46  # E2: Relative Speed +1  spd=6 dir=Forward bell=Off
 0x1 0x46  # E2: Relative Speed +1  spd=7 dir=Forward bell=Off
 0x1 0x46  # E2: Relative Speed +1  spd=8 dir=Forward bell=Off
 0x1 0x46  # E2: Relative Speed +1  spd=9 dir=Forward bell=Off
 0x1 0x46  # E2: Relative Speed +1  spd=10 dir=Forward bell=Off
 0x2 0x1c  # E4: Blow Horn  spd=0 dir=Forward bell=Off
 0x2 0x1c  # E4: Blow Horn  spd=0 dir=Forward bell=Off
 0x2 0x1c  # E4: Blow Horn  spd=0 dir=Forward bell=Off
 0x2 0x1c  # E4: Blow Horn  spd=0 dir=Forward bell=Off
 0x2 0x1c  # E4: Blow Horn  spd=0 dir=Forward bell=Off
 0x2 0x1c  # E4: Blow Horn  spd=0 dir=Forward bell=Off
 0x2 0x1c  # E4: Blow Horn  spd=0 dir=Forward bell=Off
 0x2 0x1c  # E4: Blow Horn  spd=0 dir=Forward bell=Off
 0x2 0x1c  # E4: Blow Horn  spd=0 dir=Forward bell=Off
 0x2 0x1c  # E4: Blow Horn  spd=0 dir=Forward bell=Off
 0x0 0xc3  # E1: Relative Speed -2  spd=10 dir=Forward bell=Off
 0x0 0xc3  # E1: Relative Speed -2  spd=8 dir=Forward bell=Off
 0x0 0xc3  # E1: Relative Speed -2  spd=6 dir=Forward bell=Off
 0x0 0xc3  # E1: Relative Speed -2  spd=4 dir=Forward bell=Off
 0x0 0x9d  # E1: Ring Bell (On)  spd=4 dir=Forward bell=On
 0x0 0xc3  # E1: Relative Speed -2  spd=2 dir=Forward bell=On
 0x1 0x48  # E2: Relative Speed +3  spd=13 dir=Forward bell=Off
 0x1 0x48  # E2: Relative Speed +3  spd=16 dir=Forward bell=Off
 0x1 0x48  # E2: Relative Speed +3  spd=19 dir=Forward bell=Off
 0x1 0xc6  # E3: Relative Speed +1  spd=7 dir=Forward bell=Off
 0x1 0xc6  # E3: Relative Speed +1  spd=8 dir=Forward bell=Off
